"Hour","Year","Month","Day","Minute","road_num","road_name","functional_road_class_desc","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","creation_date.x","description","cause_of_incident","from_road","to_road","affected_roads","incident_category_desc","magnitude_of_delay_desc","length_in_meters","delay_in_seconds","incident_date","latitude","longitude","temperature","atmospheric_pressure","humidity","wind_speed","clouds","precipitation","current_luminosity","sunrise","sunset","creation_date.y"
14,2019,1,17,40,2,"Avenida Central","Local High Importance Road",13,17,4,356,272,84,"2019-01-17 14:45:01.000000","stationary traffic","","N101 (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",498,336,"2019-01-17 14:44:59.249000",41.5565032958985,-8.41729927062988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2019,1,17,0,2,"Avenida Central","Local High Importance Road",11,18,7,421,257,164,"2019-01-17 15:05:01.000000","stationary traffic","","Rua De Camoes (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",264,125,"2019-01-17 15:04:59.430000",41.5546379089356,-8.41703605651855,13,1021,54,5,20,0,"LIGHT","2019-01-17 07:56:51.000000","2019-01-17 17:31:20.000000","2019-01-17 15:04:59.000000"
15,2019,1,17,20,2,"Avenida Central","Local High Importance Road",17,17,0,272,272,0,"2019-01-17 15:25:01.000000","stationary traffic","","Rua De Camoes (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",251,148,"2019-01-17 15:24:59.166000",41.5545120239258,-8.41703987121582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2019,1,17,20,2,"Avenida Central","Local High Importance Road",9,18,9,515,257,258,"2019-01-17 16:25:01.000000","stationary traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Major",217,234,"2019-01-17 16:24:59.463000",41.551628112793,-8.41792774200439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019,1,17,0,1,"Avenida da Liberdade","Local High Importance Road",19,25,6,34,26,8,"2019-01-17 17:05:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",322,164,"2019-01-17 17:04:59.433000",41.5510940551758,-8.41785717010498,12,1021,58,4,20,0,"LOW_LIGHT","2019-01-17 07:56:49.000000","2019-01-17 17:31:26.000000","2019-01-17 17:04:58.000000"
17,2019,1,17,20,1,"Avenida da Liberdade","Local High Importance Road",19,25,6,34,26,8,"2019-01-17 17:25:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",362,293,"2019-01-17 17:24:59.344000",41.5515594482422,-8.41723155975342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019,1,17,40,1,"Avenida da Liberdade","Local High Importance Road",17,25,8,39,26,13,"2019-01-17 17:45:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",362,349,"2019-01-17 17:44:59.433000",41.5515594482422,-8.41723155975342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019,1,17,40,2,"Avenida Central","Local High Importance Road",7,18,11,662,257,405,"2019-01-17 17:45:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",291,204,"2019-01-17 17:44:59.433000",41.5517196655273,-8.42352676391602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,17,0,1,"Avenida da Liberdade","Local High Importance Road",16,25,9,41,26,15,"2019-01-17 18:05:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",264,239,"2019-01-17 18:04:59.325000",41.5510940551758,-8.41785717010498,11,1021,71,4,20,0,"DARK","2019-01-17 07:56:48.000000","2019-01-17 17:31:29.000000","2019-01-17 18:04:59.000000"
18,2019,1,17,0,2,"Avenida Central","Local High Importance Road",5,18,13,927,257,670,"2019-01-17 18:05:01.000000","stationary traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Major",498,337,"2019-01-17 18:04:59.325000",41.5517463684082,-8.41738319396973,11,1021,71,4,20,0,"DARK","2019-01-17 07:56:48.000000","2019-01-17 17:31:29.000000","2019-01-17 18:04:59.000000"
