"Hour","Year","Month","Day","Minute","road_num","road_name","functional_road_class_desc","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","creation_date.x","description","cause_of_incident","from_road","to_road","affected_roads","incident_category_desc","magnitude_of_delay_desc","length_in_meters","delay_in_seconds","incident_date","latitude","longitude","temperature","atmospheric_pressure","humidity","wind_speed","clouds","precipitation","current_luminosity","sunrise","sunset","creation_date.y"
12,2019,1,18,20,2,"Avenida Central","Local High Importance Road",4,14,10,458,130,328,"2019-01-18 12:25:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",356,368,"2019-01-18 12:24:59.513000",41.5517616271973,-8.42288494110107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2019,1,18,20,2,"Avenida Central","Local High Importance Road",5,12,7,366,152,214,"2019-01-18 14:25:06.000000","queuing traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Moderate",356,202,"2019-01-18 14:25:03.628000",41.5517616271973,-8.42288494110107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019,1,18,20,1,"Avenida da Liberdade","Local High Importance Road",20,20,0,14,14,0,"2019-01-18 17:25:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",264,165,"2019-01-18 17:24:59.434000",41.5510940551758,-8.41785717010498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019,1,18,40,2,"Avenida Central","Local High Importance Road",6,14,8,305,130,175,"2019-01-18 17:45:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",238,175,"2019-01-18 17:44:59.518000",41.5523262023926,-8.4235725402832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2019,1,18,40,2,"Avenida Central","Local High Importance Road",6,14,8,305,130,175,"2019-01-18 17:45:01.000000","stationary traffic","","Avenida Central (Rua De Santa Margarida)","N101 (Rua De Santa Margarida)","","Jam","Major",453,147,"2019-01-18 17:44:59.518000",41.553524017334,-8.41709232330322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,18,0,1,"Avenida da Liberdade","Local High Importance Road",20,20,0,14,14,0,"2019-01-18 18:05:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",304,296,"2019-01-18 18:04:59.434000",41.5510940551758,-8.41785717010498,8,1018,93,3,40,0,"DARK","2019-01-18 07:56:15.000000","2019-01-18 17:32:40.000000","2019-01-18 18:04:58.000000"
18,2019,1,18,0,2,"Avenida Central","Local High Importance Road",3,11,8,610,166,444,"2019-01-18 18:05:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",290,269,"2019-01-18 18:04:59.434000",41.5518455505371,-8.42355918884277,8,1018,93,3,40,0,"DARK","2019-01-18 07:56:15.000000","2019-01-18 17:32:40.000000","2019-01-18 18:04:58.000000"
18,2019,1,18,20,1,"Avenida da Liberdade","Local High Importance Road",20,20,0,14,14,0,"2019-01-18 18:25:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",304,314,"2019-01-18 18:24:59.364000",41.5510940551758,-8.41785717010498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,18,20,2,"Avenida Central","Local High Importance Road",2,11,9,916,166,750,"2019-01-18 18:25:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",434,563,"2019-01-18 18:24:59.364000",41.5517768859863,-8.42193126678467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,18,40,2,"Avenida Central","Local High Importance Road",5,12,7,366,152,214,"2019-01-18 18:45:01.000000","stationary traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Major",277,301,"2019-01-18 18:44:59.462000",41.551628112793,-8.41794013977051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2019,1,18,40,2,"Avenida Central","Local High Importance Road",5,12,7,366,152,214,"2019-01-18 18:45:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",205,268,"2019-01-18 18:44:59.462000",41.5517196655273,-8.42352676391602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,18,20,2,"Avenida Central","Local High Importance Road",6,12,6,305,152,153,"2019-01-18 19:25:00.000000","queuing traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Moderate",238,128,"2019-01-18 19:24:59.118000",41.5523262023926,-8.4235725402832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2019,1,18,40,2,"Avenida Central","Local High Importance Road",6,14,8,305,130,175,"2019-01-18 19:45:01.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",238,171,"2019-01-18 19:44:59.309000",41.5523262023926,-8.4235725402832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019,1,19,20,2,"Avenida Central","Local High Importance Road",4,12,8,458,152,306,"2019-01-19 11:25:01.000000","stationary traffic","","Rua De Santa Margarida (Avenida Central)","N101 (Avenida Central)","","Jam","Major",277,172,"2019-01-19 11:24:59.579000",41.551628112793,-8.41794013977051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019,1,19,20,2,"Avenida Central","Local High Importance Road",4,12,8,458,152,306,"2019-01-19 11:25:01.000000","stationary traffic","","Rua De Camoes (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",251,252,"2019-01-19 11:24:59.579000",41.5545120239258,-8.41703987121582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019,1,19,20,2,"Avenida Central","Local High Importance Road",4,12,8,458,152,306,"2019-01-19 11:25:01.000000","queuing traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Moderate",372,233,"2019-01-19 11:24:59.579000",41.5517692565918,-8.42269134521484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019,1,19,40,2,"Avenida Central","Local High Importance Road",2,10,8,916,183,733,"2019-01-19 11:45:02.000000","stationary traffic","","Rua De Camoes (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",251,199,"2019-01-19 11:44:59.514000",41.5545120239258,-8.41703987121582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2019,1,19,40,2,"Avenida Central","Local High Importance Road",2,10,8,916,183,733,"2019-01-19 11:45:02.000000","stationary traffic","","Avenida Central (N101)","Avenida General Norton De Matos (N101)","N101","Jam","Major",466,620,"2019-01-19 11:44:59.514000",41.5517807006836,-8.42154502868652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2019,1,19,0,1,"Avenida da Liberdade","Local High Importance Road",20,20,0,14,14,0,"2019-01-19 12:05:01.000000","stationary traffic","","Avenida 31 de Janeiro / Largo da Senhora-a-Branca","Avenida da Liberdade (N101)","","Jam","Major",362,241,"2019-01-19 12:04:59.438000",41.5515594482422,-8.41723155975342,12,1013,100,4,90,0,"LIGHT","2019-01-19 07:55:49.000000","2019-01-19 17:33:34.000000","2019-01-19 12:05:00.000000"
12,2019,1,19,0,2,"Avenida Central","Local High Importance Road",4,12,8,458,152,306,"2019-01-19 12:05:01.000000","stationary traffic","","Rua De Camoes (Rua De Santa Margarida)","Avenida Central (Rua De Santa Margarida)","","Jam","Major",251,196,"2019-01-19 12:04:59.438000",41.5545120239258,-8.41703987121582,12,1013,100,4,90,0,"LIGHT","2019-01-19 07:55:49.000000","2019-01-19 17:33:34.000000","2019-01-19 12:05:00.000000"
